id,unidade,recorte_tipo,recorte,perfil,prevalencia,n,erro_padrao
90,U-AD,estimulo,Amistoso,Iceberg,32.6530612244898,49,
91,U-AD,estimulo,Técnico/força,Iceberg,27.27272727272727,22,
92,U-AD,estimulo,Basal,Superfície,22.22222222222222,27,
93,U-AD,estimulo,HIIT,Superfície,16.176470588235293,68,
94,U-AD,estimulo,Amistoso,Superfície,8.16326530612245,49,
95,U-AD,estimulo,Técnico/força,Superfície,9.090909090909092,22,
96,U-AD,estimulo,Basal,Submerso,18.51851851851852,27,
97,U-AD,estimulo,HIIT,Submerso,16.176470588235293,68,
98,U-AD,estimulo,Amistoso,Submerso,14.285714285714285,49,
99,U-AD,estimulo,Técnico/força,Submerso,9.090909090909092,22,
100,U-AD,estimulo,Basal,Barbatana de tubarão,3.7037037037037033,27,
101,U-AD,estimulo,HIIT,Barbatana de tubarão,27.941176470588236,68,
102,U-AD,estimulo,Amistoso,Barbatana de tubarão,30.612244897959183,49,
103,U-AD,estimulo,Técnico/força,Barbatana de tubarão,31.818181818181817,22,
104,U-AD,estimulo,Basal,Iceberg invertido,11.11111111111111,27,
105,U-AD,estimulo,HIIT,Iceberg invertido,13.23529411764706,68,
106,U-AD,estimulo,Amistoso,Iceberg invertido,14.285714285714285,49,
107,U-AD,estimulo,Técnico/força,Iceberg invertido,22.727272727272727,22,
108,U-AD,estimulo,Basal,Everest invertido,0.0,27,
109,U-AD,estimulo,HIIT,Everest invertido,2.941176470588235,68,
110,U-AD,estimulo,Amistoso,Everest invertido,0.0,49,
111,U-AD,estimulo,Técnico/força,Everest invertido,0.0,22,
112,U-AD,estimulo,Basal,Faixa Favorável,44.44444444444444,27,
113,U-AD,estimulo,HIIT,Faixa Favorável,23.52941176470588,68,
114,U-AD,estimulo,Amistoso,Faixa Favorável,32.6530612244898,49,
115,U-AD,estimulo,Técnico/força,Faixa Favorável,27.27272727272727,22,
116,U-AD,estimulo,Basal,Faixa Neutra,40.74074074074074,27,
117,U-AD,estimulo,HIIT,Faixa Neutra,32.35294117647059,68,
118,U-AD,estimulo,Amistoso,Faixa Neutra,22.448979591836736,49,
119,U-AD,estimulo,Técnico/força,Faixa Neutra,18.181818181818183,22,
120,U-AD,estimulo,Basal,Faixa Risco,14.814814814814813,27,
121,U-AD,estimulo,HIIT,Faixa Risco,44.11764705882353,68,
122,U-AD,estimulo,Amistoso,Faixa Risco,44.89795918367347,49,
123,U-AD,estimulo,Técnico/força,Faixa Risco,54.54545454545454,22,
