dia,atletas_com_registro,atletas_esperados,registros,registros_esperados,cobertura_atleta,cobertura_registro
1,27,27,48,27,100.0,177.77777777777777
2,26,27,88,54,96.29629629629629,162.96296296296296
3,26,27,75,54,96.29629629629629,138.88888888888889
4,21,27,60,54,77.77777777777777,111.11111111111111
5,23,27,71,54,85.18518518518519,131.4814814814815
6,22,27,68,54,81.48148148148148,125.92592592592592
7,21,27,46,54,77.77777777777777,85.18518518518519
